,order_id,driver_id,client_id,dttm,date,arrived_distance,arrived_duration,distance,duration,from_latitude,from_longitude,to_latitude,to_longitude,mark,client_rate_ride,client_rides_cnt,driver_rides_cnt,comment,is_aggressive
0,1772900519,20945619,12502686,2021-01-22 21:53:00,2021-01-22,150.0,1.0,11.8,20.5,55.7959,37.5603,55.716502,37.524627,Kia K5,,16.0,39.0,Больше нечего сказать,0
1,1778266455,21365267,12502686,2021-01-24 14:09:00,2021-01-24,570.0,1.0,17.2,26.2,55.716502,37.524627,55.808253,37.638847,Volkswagen Polo,,18.0,338.0,Да,0
2,1786110527,19307491,12502686,2021-01-26 21:02:00,2021-01-26,40.0,0.0,5.8,10.9,55.71663666,37.52422333,55.741958,37.568172,MercedesBenz EClass,,17.0,162.0,Больше нечего сказать,0
3,1788829275,19467055,12502686,2021-01-27 17:24:00,2021-01-27,140.0,1.0,4.5,10.7,55.6890764,37.491088500000004,55.716502,37.524627,Kia Optima,,18.0,136.0,Больше нечего сказать,0
4,1795266711,10059606,12502686,2021-01-29 15:31:00,2021-01-29,150.0,1.0,15.4,25.1,55.655489,37.616628999999996,55.716502,37.524627,Kia Rio,5.0,20.0,194.0,Больше нечего сказать,0
5,1795826575,19305239,12502686,2021-01-29 18:26:00,2021-01-29,2150.0,12.0,5.6,13.0,55.716502,37.524627,55.74521800000001,37.578402000000004,Hyundai Solaris,,20.0,242.0,Больше нечего сказать,0
6,1798180275,17813319,12502686,2021-01-30 11:25:00,2021-01-30,130.0,1.0,8.3,14.7,55.738926,37.587288,55.716502,37.524627,Hyundai Solaris,,21.0,313.0,Больше нечего сказать,0
7,1778001739,15214358,11766546,2021-01-24 12:22:00,2021-01-24,30.0,0.0,13.9,25.8,55.79455152,37.71878524,55.796994999999995,37.546388,Skoda Octavia,,16.0,209.0,Больше нечего сказать,0
8,1776145755,20088931,9638094,2021-01-23 20:20:00,2021-01-23,70.0,0.0,24.1,33.1,55.76439250000001,37.59071286,55.8714485168457,37.32795715332031,Hyundai Solaris,,17.0,527.0,Больше нечего сказать,0
9,1803139091,19875339,9638094,2021-01-31 19:57:00,2021-01-31,300.0,1.0,29.7,38.4,55.72926372,37.61172513,55.877143999999994,37.311021000000004,Volkswagen Polo,,13.0,24.0,Больше нечего сказать,1
10,1770466787,11112038,17791186,2021-01-22 09:21:00,2021-01-22,60.0,0.0,17.6,32.5,55.68563843,37.5293808,55.79093933,37.54289246,Kia Ceed,5.0,39.0,173.0,Больше нечего сказать,0
11,1772133663,10600146,17791186,2021-01-22 18:06:00,2021-01-22,10.0,0.0,12.2,28.8,55.68563843,37.5293808,55.765848999999996,37.609952,Kia Optima,5.0,39.0,115.0,Больше нечего сказать,0
12,1780670703,17089683,17791186,2021-01-25 09:29:00,2021-01-25,40.0,0.0,18.1,30.2,55.68563843,37.5293808,55.79093933,37.54289246,Kia Optima,5.0,37.0,49.0,Больше нечего сказать,0
13,1782722699,10266950,17791186,2021-01-25 21:21:00,2021-01-25,30.0,0.0,15.8,21.9,55.79106799,37.54313347,55.685703000000004,37.52990379999999,Kia Optima,,37.0,162.0,Больше нечего сказать,0
14,1783942895,21386507,17791186,2021-01-26 09:26:00,2021-01-26,90.0,0.0,17.3,35.4,55.68563843,37.5293808,55.79093933,37.54289246,Kia Optima,5.0,39.0,93.0,Больше нечего сказать,0
15,1785707407,18070931,17791186,2021-01-26 18:47:00,2021-01-26,130.0,1.0,19.9,37.2,55.68304119750321,37.4885219335556,55.79093933,37.54289246,Renault Duster,5.0,39.0,33.0,Больше нечего сказать,0
16,1785922923,19079895,17791186,2021-01-26 19:56:00,2021-01-26,20.0,0.0,17.0,29.7,55.79106903,37.54313278,55.685703000000004,37.52990379999999,Skoda Octavia,5.0,39.0,341.0,Больше нечего сказать,0
17,1787832023,10006272,17791186,2021-01-27 11:54:00,2021-01-27,0.0,0.0,7.0,9.9,55.73900986,37.58737183,55.692852499677066,37.534615360200405,Skoda Octavia,5.0,42.0,35.0,Больше нечего сказать,0
18,1789038647,21979491,17791186,2021-01-27 18:22:00,2021-01-27,100.0,1.0,17.3,35.0,55.68563843,37.5293808,55.79093933,37.54289246,Volkswagen Polo,,42.0,78.0,Больше нечего сказать,0
19,1789494631,21370763,17791186,2021-01-27 20:46:00,2021-01-27,0.0,0.0,15.7,27.2,55.79106903,37.54313278,55.68563843,37.5293808,Kia Optima,5.0,42.0,205.0,Больше нечего сказать,0
20,1790745355,12168338,17791186,2021-01-28 09:21:00,2021-01-28,180.0,1.0,17.6,31.8,55.68563843,37.5293808,55.79106799,37.54313347,Skoda Octavia,5.0,47.0,317.0,Больше нечего сказать,0
21,1792504395,19911859,17791186,2021-01-28 18:51:00,2021-01-28,0.0,0.0,16.7,37.6,55.683194869487814,37.488692924380295,55.79093933,37.54289246,Hyundai Solaris,,47.0,162.0,Больше нечего сказать,0
22,1792703335,20370299,17791186,2021-01-28 19:51:00,2021-01-28,10.0,0.0,15.8,34.7,55.79106903,37.54313278,55.685703000000004,37.52990379999999,Skoda Octavia,5.0,47.0,73.0,Больше нечего сказать,0
23,1794129571,29624,17791186,2021-01-29 09:23:00,2021-01-29,50.0,0.0,17.7,29.4,55.68563843,37.5293808,55.79106799,37.54313347,Hyundai Creta,5.0,48.0,208.0,Больше нечего сказать,0
24,1796640067,13678854,17791186,2021-01-29 22:03:00,2021-01-29,10.0,0.0,15.8,22.7,55.79106903,37.54313278,55.685703000000004,37.52990379999999,Skoda Octavia,5.0,48.0,109.0,Больше нечего сказать,0
25,1804584455,11275734,17791186,2021-02-01 09:33:00,2021-02-01,60.0,0.0,20.1,34.8,55.68563843,37.5293808,55.79093933,37.54289246,Skoda Octavia,5.0,49.0,193.0,Больше нечего сказать,0
26,1777574483,21297543,12328926,2021-01-24 09:35:00,2021-01-24,120.0,0.0,40.1,47.3,55.79746279,37.5375335,55.74843216,38.00318909,Kia Optima,5.0,57.0,84.0,Больше нечего сказать,0
27,1798755763,10435926,12328926,2021-01-30 19:40:00,2021-01-30,130.0,1.0,30.1,45.2,55.7484410056213,38.00313290208578,55.691756000000005,37.662845000000004,Ford Galaxy,5.0,52.0,217.0,Больше нечего сказать,0
28,1800414827,17245491,12328926,2021-01-31 08:50:00,2021-01-31,90.0,0.0,32.2,42.5,55.69179153,37.66309738,55.74843216,38.00318909,Kia Optima,5.0,52.0,247.0,Отличный водитель!!!Спасибо!!!,0
29,1802592895,20809443,12328926,2021-01-31 19:40:00,2021-01-31,170.0,1.0,30.1,44.3,55.748374016141824,38.00310708582402,55.691756000000005,37.662845000000004,Hyundai Solaris,5.0,52.0,108.0,Лучший водитель!!! Спасибо!!!,0
30,1803820839,21126759,12328926,2021-02-01 09:16:00,2021-02-01,120.0,0.0,32.2,50.2,55.69179153,37.66309738,55.74843216,38.00318909,Skoda Octavia,5.0,53.0,238.0,Больше нечего сказать,0
31,1785223683,19448755,12432230,2021-01-26 16:15:00,2021-01-26,10.0,0.0,3.3,9.7,55.64317703,37.5422821,55.662943000000006,37.555554,Skoda Octavia,5.0,20.0,8.0,Больше нечего сказать,0
32,1785731871,15083586,12432230,2021-01-26 18:53:00,2021-01-26,70.0,0.0,5.3,17.8,55.66304564851968,37.55562979727983,55.6431770324707,37.54228210449219,Kia Rio,,20.0,59.0,Больше нечего сказать,0
